hex,accommodation,sports,public,company,healthcare,residense,government,life,technology,shop,finance,landscape,dining
8730918ebffffff,0.526315789,0.947368421,3.052631579,9.631578947,1.684210526,1.105263158,2.526315789,4.105263158,2.263157895,1,0.789473684,0.105263158,4.578947368
8730918ecffffff,0.263157895,0.684210526,2.631578947,6.157894737,0.894736842,0.631578947,1.789473684,1.736842105,1.105263158,0.526315789,0.473684211,0.052631579,2.263157895
8730918edffffff,0.105263158,0.631578947,2.947368421,5,0.894736842,0.210526316,1.894736842,1.421052632,1.157894737,0.421052632,0.315789474,0.157894737,1.210526316
8730918eeffffff,0.684210526,1.368421053,2.263157895,11.21052632,2,1.473684211,2.947368421,4.263157895,2.421052632,0.947368421,0.789473684,0.157894737,5.052631579
8730918f0ffffff,5.157894737,8,0.736842105,29.26315789,12.05263158,12.94736842,16.89473684,27.78947368,15.26315789,3.368421053,8.263157895,1.947368421,51.63157895
8730918f1ffffff,4.473684211,6.684210526,1.052631579,25.36842105,10.21052632,9.315789474,14.63157895,23.47368421,11.42105263,2.578947368,7.631578947,1.526315789,40.21052632
8730918f2ffffff,5.210526316,8,0.631578947,30.84210526,12.47368421,13,16.57894737,29.89473684,15.36842105,3.736842105,8.631578947,1.947368421,55
8730918f3ffffff,4.368421053,6.789473684,1.263157895,25.68421053,10.31578947,9.684210526,14.26315789,24.05263158,11.68421053,2.894736842,7.368421053,1.736842105,40.89473684
8730918f4ffffff,5.210526316,7.842105263,1.368421053,29.05263158,12.31578947,12.89473684,16.94736842,28.52631579,15.57894737,3.631578947,8.368421053,1.894736842,52.26315789
8730918f5ffffff,4.684210526,6.578947368,1.052631579,28.21052632,11,11.05263158,15.89473684,25.15789474,12.84210526,2.578947368,7.631578947,1.631578947,42.63157895
8730918f6ffffff,5.421052632,8.105263158,0.789473684,32.89473684,12.84210526,13.84210526,17.94736842,30.57894737,16.15789474,3.789473684,8.947368421,1.842105263,56.68421053
873091900ffffff,0.052631579,0.263157895,4.421052632,1.210526316,0.421052632,0.157894737,1.052631579,0.368421053,0.263157895,0.157894737,0,0.157894737,1
873091902ffffff,0.684210526,0.736842105,3.842105263,2.684210526,1.210526316,0.578947368,3.105263158,3.052631579,1.157894737,0.368421053,0.526315789,0.684210526,3.894736842
873091903ffffff,0.052631579,0.263157895,4.052631579,1.368421053,0.421052632,0.157894737,0.842105263,0.368421053,0.263157895,0.105263158,0,0.157894737,0.947368421
873091906ffffff,0.578947368,0.578947368,4.105263158,1.894736842,1.473684211,0.578947368,2.210526316,2.947368421,1.105263158,0.421052632,0.526315789,0.842105263,3.789473684
873091908ffffff,0.157894737,0.368421053,3.684210526,2.736842105,0.842105263,0.421052632,2.368421053,2.315789474,1.105263158,0.473684211,0.473684211,0.315789474,2.263157895
873091909ffffff,0.157894737,0.315789474,2.894736842,2.947368421,0.789473684,0.368421053,2.368421053,2.210526316,1.052631579,0.421052632,0.473684211,0.368421053,2.105263158
87309190affffff,0.052631579,0.368421053,3.210526316,1.789473684,0.368421053,0.315789474,1.105263158,0.578947368,0.684210526,0.210526316,0.105263158,0.157894737,1.052631579
87309190bffffff,0.105263158,0.368421053,2.736842105,2.526315789,0.789473684,0.526315789,2,2.105263158,0.947368421,0.368421053,0.421052632,0.157894737,2.157894737
87309190cffffff,0.052631579,0.157894737,2.947368421,1.315789474,0.210526316,0.105263158,1.210526316,0.210526316,0.421052632,0.210526316,0.105263158,0.263157895,0.526315789
87309190dffffff,0.157894737,0.368421053,2.736842105,2.789473684,0.842105263,0.368421053,2.421052632,2.315789474,1.157894737,0.473684211,0.473684211,0.315789474,2.263157895
873091910ffffff,0.789473684,0.947368421,2.842105263,3.526315789,1.684210526,0.736842105,3.315789474,3.052631579,1.157894737,0.421052632,0.526315789,0.894736842,4.368421053
873091911ffffff,0.684210526,0.894736842,3.368421053,3.052631579,1.315789474,0.631578947,3.315789474,3,1,0.368421053,0.526315789,0.578947368,4.315789474
873091912ffffff,0.789473684,0.947368421,1.842105263,3.368421053,1.473684211,0.789473684,3.052631579,3,1.105263158,0.421052632,0.526315789,0.842105263,4.157894737
873091913ffffff,0.684210526,0.894736842,2.578947368,3.210526316,1.473684211,0.736842105,3.421052632,3.052631579,1.105263158,0.368421053,0.526315789,0.578947368,4.368421053
873091914ffffff,0.789473684,0.842105263,2.631578947,3.315789474,1.631578947,0.789473684,3.210526316,3.052631579,1.105263158,0.368421053,0.526315789,1,4.105263158
873091915ffffff,0.789473684,0.842105263,3.578947368,3.052631579,1.526315789,0.684210526,3.105263158,3.052631579,1.052631579,0.421052632,0.526315789,0.947368421,4.157894737
873091916ffffff,0.842105263,1,1.894736842,3.526315789,1.684210526,0.789473684,3.210526316,3.052631579,1.210526316,0.526315789,0.526315789,0.894736842,4.210526316
